연번,시도,시군구,읍면동,우편번호,주    소,전화번호,팩스번호
653,대구,동구,효목2동행정복지센터,41232,대구광역시 동구 화랑로25길 45,,053-662-3781
658,대구,동구,방촌동행정복지센터,41162,대구광역시 동구 동촌로48길 26,,053-662-3315
660,대구,동구,안심1동행정복지센터,41119,대구광역시 동구 율하동로25길 5,,053-662-3367
680,대구,서구,평리6동행정복지센터,41763,대구광역시 서구 서대구로41길 41,,053-663-3315
682,대구,서구,원대동행정복지센터,41716,대구광역시 서구 달서로 257,,
683,대구,남구,이천동행정복지센터,42431,대구광역시 남구 이천로28길 18,,053-664-3030
684,대구,남구,봉덕1동행정복지센터,42429,대구광역시 남구 봉덕로 51-2,,053-664-3030
685,대구,남구,봉덕2동행정복지센터,42442,대구광역시 남구 이천로10길 50,,053-664-3751
687,대구,남구,대명1동행정복지센터,42470,대구광역시 남구 두류공원로 38,,053-664-3030
688,대구,남구,대명2동행정복지센터,42409,대구광역시 남구 명덕로32길 30,,053-664-3030
689,대구,남구,대명3동행정복지센터,42408,대구광역시 남구 명덕로20길 115,,053-664-3030
690,대구,남구,대명4동행정복지센터,42460,대구광역시 남구 두류공원로20길 19,,053-664-3030
691,대구,남구,대명5동행정복지센터,42449,대구광역시 남구 대명로58길 11,,053-664-3030
692,대구,남구,대명6동행정복지센터,42494,대구광역시 남구 대명남로 73,,053-664-3030
693,대구,남구,대명9동행정복지센터,42488,대구광역시 남구 큰골길 53,,053-664-3030
694,대구,남구,대명10동행정복지센터,42481,대구광역시 남구 대명복개로4길 166,,053-664-3931
695,대구,남구,대명11동행정복지센터,42497,대구광역시 남구 관문시장4길 53,,053-664-3030
696,대구 ,북구,고성동행정복지센터,41595,대구광역시 북구 고성로31길 21,,053-665-3301
698,대구 ,북구,침산1동행정복지센터,41551,대구광역시 북구 침산남로13길 16,,053-665-3303
701,대구 ,북구,노원동행정복지센터,41558,대구광역시 북구 노원로10길 166,,053-665-3306
704,대구 ,북구,산격3동행정복지센터(임시청사),41544,대구광역시 북구 대학로 95(임시청사),,
708,대구 ,북구,대현동행정복지센터,41573,대구광역시 북구 대현남로 25,,053-665-3315
710,대구 ,북구,무태조야동행정복지센터,41475,대구광역시 북구 호국로43길 20,,053-665-3317
714,대구 ,북구,구암동행정복지센터,41428,대구광역시 북구 구암서로 32,,053-665-3321
715,대구 ,북구,관음동행정복지센터,41441,대구광역시 북구 관음동로 125,,053-665-3322
718,대구 ,북구,국우동행정복지센터,41418,대구광역시 북구 구리로 188,,053-665-3325
720,대구,수성구,범어2동행정복지센터,42026,대구광역시 수성구 달구벌대로489안길 47,,053-666-3302
721,대구,수성구,범어3동행정복지센터,42013,대구광역시 수성구 상록로 42,,053-743-5676
722,대구,수성구,범어4동행정복지센터,42088,대구광역시 수성구 달구벌대로504길 26,,053-666-3304
726,대구,수성구,수성1가동행정복지센터,42127,대구광역시 수성구 명덕로73길 7,,053-666-3308
729,대구,수성구,황금1동행정복지센터,42111,대구광역시 수성구 청호로57길 10,,
730,대구,수성구,황금2동행정복지센터,42144,대구광역시 수성구 청솔로2길 64,,053-757-5788
736,대구,수성구,지산2동행정복지센터,42216,대구광역시 수성구 용학로33길 9,,053-666-3318
737,대구,수성구,범물1동행정복지센터,42241,대구광역시 수성구 범안로 76,,053-666-3319
740,대구,수성구,고산2동행정복지센터,42262,대구광역시 수성구 달구벌대로 3091,,053-668-3030
744,대구,달서구,두류3동행정복지센터,42648,대구광역시 달서구 야외음악당로39길 24,,053-551-2100
745,대구,달서구,본리동행정복지센터,42675,대구광역시 달서구 당산로 37-14,,053-667-4809
748,대구,달서구,장기동행정복지센터,42691,대구광역시 달서구 장기로 277,,053-667-4258
749,대구,달서구,용산1동행정복지센터,42631,대구광역시 달서구 용산로 212-7,,053-667-4289
751,대구,달서구,이곡1동행정복지센터,42620,대구광역시 달서구 달구벌대로 1309,,053-667-4348
752,대구,달서구,이곡2동행정복지센터,42611,대구광역시 달서구 계대동문로 77,,053-667-4379
753,대구,달서구,신당동행정복지센터,42609,대구광역시 달서구 선원로 60,,053-667-4409
754,대구,달서구,월성1동행정복지센터,42778,대구광역시 달서구 조암남로 97,,053-667-4439
755,대구,달서구,월성2동행정복지센터,42732,대구광역시 달서구 월성로 65,,053-667-4469
756,대구,달서구,진천동행정복지센터,42772,대구광역시 달서구 진천로9길 33,,053-667-4499
758,대구,달서구,상인1동행정복지센터,42812,대구광역시 달서구 상인서로 40,,053-667-4629
760,대구,달서구,상인3동행정복지센터,42815,대구광역시 달서구 월곡로26안길 3,,053-667-4689
761,대구,달서구,도원동행정복지센터,42832,대구광역시 달서구 한실로 53,,053-667-4719
762,대구,달서구,송현1동행정복지센터,42819,대구광역시 달서구 중흥로8길 41,,053-667-4748
763,대구,달서구,송현2동행정복지센터,42738,대구광역시 달서구 월배로83길 120-14,,053-667-4779
764,대구,달서구,본동행정복지센터,42733,대구광역시 달서구 구마로26길 62,,053-667-4139
766,대구,달성군,논공읍행정복지센터,42968,대구광역시 달성군 논공읍 비슬로 1779,,053-611-3001
772,대구,달성군,하빈면행정복지센터,42902,대구광역시 달성군 하빈면 하빈로84길 1,,053-282-7893
774,대구,군위군,군위읍행정복지센터,43114,대구광역시 군위군 군위읍 중앙길 134,,
775,대구,군위군,우보면행정복지센터,43142,대구광역시 군위군 우보면 이화길 105,,
776,대구,군위군,호령면행정복지센터,43129,대구광역시 군위군 효령면 치산효령로 2400,,
777,대구,군위군,산성면행정복지센터,43158,대구광역시 군위군 산성면 산성가음로 668,,053-757-5788
778,대구,군위군,소보면행정복지센터,43102,대구광역시 군위군 소보면 송백로 1415,,
779,대구,군위군,의흥면행정복지센터,43149,대구광역시 군위군 의흥면 읍내길 39,,
780,대구,군위군,부계면행정복지센터,43162,대구광역시 군위군 부계면 창평길 3,,
781,대구,군위군,삼국유사면행정복지센터,43155,대구광역시 군위군 삼국유사면 삼국유사로 448,,
938,광주,동구,충장동행정복지센터,61480,광주광역시 동구 충장로58번길 16,,
939,광주,동구,동명동행정복지센터,61434,광주광역시 동구 동명로26번길 13,,
942,광주,동구,산수1동행정복지센터,61406,광주광역시 동구 무등로449번길 12,,062-607-4549
945,광주,동구,지산2동행정복지센터,61444,광주광역시 동구 지호로 51,,062-608-3769
947,광주,동구,학동행정복지센터,61455,광주광역시 동구 남문로753번길 20 상가 A동 102호,,
953,광주,서구,농성1동행정복지센터,61936,광주광역시 서구 상무대로1189번길 23,,062-360-7600
963,광주,서구,화정4동행정복지센터,62026,광주광역시 서구 염화로83번길 3,,062-360-7600
974,광주,남구,사직동행정복지센터,61636,광주광역시 남구 중앙로95번길 14,,062-654-4971
988,광주,북구,중앙동행정복지센터,61240,광주광역시 북구 금재로 30,,
999,광주,북구,문흥1동행정복지센터,61129,광주광역시 북구 대천로 140-3,,062-410-8743
1009,광주,북구,석곡동행정복지센터,61140,광주광역시 북구 석곡로 634,,062-410-8843
1010,광주,북구,건국동행정복지센터,61027,광주광역시 북구 본촌마을길 25,,
1011,광주,북구,양산동행정복지센터,61072,광주광역시 북구 양산택지로 32,,062-510-1457
1016,광주,광산구,신흥동행정복지센터,62380,광주광역시 광산구 신흥동안길 9,,062-960-3745
1025,광주,광산구,운남동행정복지센터,62317,광주광역시 광산구 목련로217번길 10,,062-607-4699
1030,광주,광산구,동곡동행정복지센터,62461,광주광역시 광산구 동곡로 151-56,,062-960-8990
1031,광주,광산구,평동행정복지센터,62420,광주광역시 광산구 평동로 790,,062-960-8990
1032,광주,광산구,삼도동행정복지센터,62406,광주광역시 광산구 오운로 433-1,,062-960-8990
1041,대전,동구,자양동 행정복지센터,34645,대전광역시 동구 백룡로 16 ,,042-259-7411
1117,울산,중구,반구1동행정복지센터,44501,울산광역시 중구 화합로 340,,052-209-4368
1146,울산,동구,전하1동행정복지센터,44035,울산광역시 동구 바드래3길 55,,052-209-4279
1148,울산,동구,남목1동행정복지센터,44010,울산광역시 동구 방어진순환도로 1170,,052-209-4368
1159,울산,울주군,범서읍행정복지센터,44926,울산광역시 울주군 범서읍 송현길 72 ,,
1169,울산,울주군,상북면행정복지센터,44902,울산광역시 울주군 상북면 도동신리로 5,,052-290-4709
1171,세종,,조치원읍행정복지센터,30024,세종특별자치시 조치원읍 새내16길 17 ,,044-301-6329
1180,세종,,소정면행정복지센터,30001,세종특별자치시 소정면 소정구길 204,,044-301-6329
1204,경기,수원시 장안구,연무동 행정복지센터,16265,경기도 수원시 장안구 경수대로 757,,031-369-2529
1217,경기,수원시 팔달구,행궁동 행정복지센터,16251,경기도 수원시 팔달구 신풍로23번길 40,,031-228-7675
1219,경기,수원시 팔달구,매산동 행정복지센터,16456,경기도 수원시 팔달구 매산로 45,,031-231-3845
1222,경기,수원시 팔달구,화서2동 행정복지센터,16425,경기도 수원시 팔달구 화산로6번길 6,,
1223,경기,수원시 팔달구,지동 행정복지센터,16248,경기도 수원시 팔달구 세지로 339,,031-760-1438
1238,경기,수원시 영통구,망포2동 행정복지센터,16686,경기도 수원시 영통구 태장로54번길 10,,
1239,경기,고양시 덕양구,주교동행정복지센터,10458,경기도 고양시 덕양구 고양대로1315번길 71,,031-917-1366
1240,경기,고양시 덕양구,원신동행정복지센터,10565,경기도 고양시 덕양구 호국로 1261,,031-917-1366
1245,경기,고양시 덕양구,삼송1동행정복지센터,10509,경기도 고양시 덕양구 신도길 8-8,,031-917-1366
1247,경기,고양시 덕양구,창릉동행정복지센터,10597,경기도 고양시 덕양구 동세로 30,,031-917-1366
1251,경기,고양시 덕양구,화정1동행정복지센터,10472,경기도 고양시 덕양구 화중로 197,,031-917-1366
1253,경기,고양시 덕양구,행주동행정복지센터,10516,경기도 고양시 덕양구 지도로14번길 11,,031-917-1366
1259,경기,고양시 덕양구,대덕동행정복지센터,10541,경기도 고양시 덕양구 덕은로 60-22,,
1268,경기,고양시 일산동구,마두2동행정복지센터,10416,경기도 고양시 일산동구 강송로 166,,031-917-1366
1281,경기,고양시 일산서구,덕이동행정복지센터,10237,경기도 고양시 일산서구 덕이로 50-7,,031-917-1366
1282,경기,고양시 일산서구,가좌동행정복지센터,10214,경기도 고양시 일산서구 송산로374번길 7,,031-917-1366
1294,경기,성남시 수정구,양지동행정복지센터,13140,경기도 성남시 수정구 산성대로 483,,031-729-5839
1329,경기,성남시 분당구,판교동행정복지센터,13479,경기도 성남시 분당구 서판교로32번길 9,,031-729-7889
1344,경기,용인시 처인구,동부동행정복지센터,17144,경기도 용인시 처인구 중부대로 1574,,
1353,경기,용인시 기흥구,구성동행정복지센터,16917,경기도 용인시 기흥구 구성로77번길 17,,031-324-6629
1357,경기,용인시 기흥구,동백3동행정복지센터,16990,경기도 용인시 기흥구 동백죽전대로527번길 98-2,,031-324-6749
1371,경기,부천시 원미구,심곡1동행정복지센터,14631,경기도 부천시 원미구 장말로351번길 9 (심곡동),,
1372,경기,부천시 원미구,심곡2동행정복지센터,14639,경기도 부천시 원미구 부흥로424번길 25 (심곡동),,
1374,경기,부천시 원미구,원미1동행정복지센터,14568,경기도 부천시 원미구 부천로122번길 60 (원미동),,
1375,경기,부천시 원미구,원미2동행정복지센터,14571,경기도 부천시 원미구 조종로36번길 26 (원미동),,
1376,경기,부천시 원미구,소사동행정복지센터,14660,경기도 부천시 원미구 소사로310번길 3-9 (소사동),,
1377,경기,부천시 원미구,역곡1동행정복지센터,14669,경기도 부천시 원미구 부일로791번길 14 (역곡동),,
1378,경기,부천시 원미구,역곡2동행정복지센터,14672,경기도 부천시 원미구 부일로699번길 35 (역곡동),,
1379,경기,부천시 원미구,춘의동행정복지센터,14552,경기도 부천시 원미구 부천로209번길 19 (춘의동),,031-324-5942
1381,경기,부천시 원미구,약대동행정복지센터,14518,경기도 부천시 원미구 수도로 44 (약대동),,
1383,경기,부천시 원미구,중1동행정복지센터,14581,경기도 부천시 원미구 조마루로 250 (중동),,
1384,경기,부천시 원미구,중2동행정복지센터,14609,경기도 부천시 원미구 심중로119번길 8 (중동),,
1385,경기,부천시 원미구,중3동행정복지센터,14534,경기도 부천시 원미구 옥산로113번길 39 (중동),,
1386,경기,부천시 원미구,중4동행정복지센터,14537,경기도 부천시 원미구 석천로209번길 15 (중동),,
1388,경기,부천시 원미구,상1동행정복지센터,14597,경기도 부천시 원미구 상일로 97 (상동),,
1390,경기,부천시 원미구,상3동행정복지센터,14540,경기도 부천시 원미구 상동로117번길 48 (상동),,
1391,경기,부천시 소사구,심곡본1동행정복지센터,14712,경기도 부천시 소사구 심곡로9번길 54 (심곡본동),,
1392,경기,부천시 소사구,심곡본동행정복지센터,14714,경기도 부천시 소사구 성주로249번길 19 (심곡본동),,
1393,경기,부천시 소사구,소사본동행정복지센터,14757,경기도 부천시 소사구 호현로433 (소사본동),,
1394,경기,부천시 소사구,소사본1동행정복지센터,14762,경기도 부천시 소사구 은성로68번길 56 (소사본동),,
1395,경기,부천시 소사구,범박동행정복지센터,14782,경기도 부천시 소사구 범안로129번길 17 (범박동),,
1396,경기,부천시 소사구,옥길동행정복지센터,14786,"경기도 부천시 소사구 옥길로 116, 문영 퀸즈파크 A동 402~405호(옥길동)",,
1397,경기,부천시 소사구,괴안동행정복지센터,14697,경기도 부천시 소사구 범안로 38 (괴안동),,
1398,경기,부천시 소사구,역곡3동행정복지센터,14681,경기도 부천시 소사구 부광로8번길 53 (괴안동),,
1400,경기,부천시 소사구,송내2동행정복지센터,14726,경기도 부천시 소사구 중동로22번길 101 (송내동),,
1402,경기,부천시 오정구,원종1동행정복지센터,14419,경기도 부천시 오정구 원종로51번길 43 (원종동),,
1403,경기,부천시 오정구,원종2동행정복지센터,14429,경기도 부천시 오정구 성오로 129 (오정동),,
1404,경기,부천시 오정구,고강본동행정복지센터,14409,경기도 부천시 오정구 고리울로 79 (고강동),,
1405,경기,부천시 오정구,고강1동행정복지센터,14415,경기도 부천시 오정구 고강로72번길 8 (고강동),,
1406,경기,부천시 오정구,오정동행정복지센터,14434,경기도 부천시 오정구 오정로252번길 88 (오정동),,
1418,경기,안산시 상록구,성포동행정복지센터,15294,경기도 안산시 상록구 충장로 468 ,,031-481-5609
1419,경기,안산시 상록구,반월동행정복지센터,15521,경기도 안산시 상록구 건건로 51 ,,
1426,경기,안산시 단원구,백운동행정복지센터,15380,경기도 안산시 단원구 원선로 31,,
1427,경기,안산시 단원구,신길동행정복지센터,15403,경기도 안산시 단원구 삼일로 42-7,,031-481-6613
1438,경기,남양주시,퇴계원읍주민센터,12123,경기도 남양주시 퇴계원읍 도제원로 13,,031-590-4892
1459,경기,안양시,석수2동행정복지센터,13964,경기도 안양시 만안구 안양로 496,,
1462,경기,안양시,박달2동행정복지센터,14016,경기도 안양시 만안구 박달로 470,,031-427-1773
1463,경기,안양시,비산1동행정복지센터,13923,경기도 안양시 동안구 비산로12,,
1466,경기,안양시,부흥동행정복지센터(임시청사),14040,경기도 안양시 동안구 경수대로 813,,
1470,경기,안양시,부림동행정복지센터,14051,경기도 안양시 동안구 달안로 154,,
1473,경기,안양시,귀인동행정복지센터,14101,경기도 안양시 동안구 부림로 16,,031-760-1438
1474,경기,안양시,호계1동행정복지센터,14112,경기도 안양시 동안구 경수대로 538,,
1479,경기,안양시,갈산동행정복지센터,14106,경기도 안양시 동안구 흥안대로223번길 30,,
1490,경기,화성시,장안면행정복지센터,18584,경기도 화성시 장안면 포승장안로 1460-7,,
1492,경기,화성시,정남면행정복지센터,18519,경기도 화성시 정남면 서봉로 998 ,,031-760-1438
1493,경기,화성시,새솔동행정복지센터,18236,경기도 화성시 수노을중앙로 178,,
1494,경기,화성시,진안동행정복지센터,18400,경기도 화성시 병점4로 34,,
1495,경기,화성시,병점1동행정복지센터,18411,경기도 화성시 경기대로1010번길 11,,
1496,경기,화성시,병점2동행정복지센터,18403,경기도 화성시 병점3로 99,,
1497,경기,화성시,반월동행정복지센터,18377,경기도 화성시 영통로61번길 32,,
1508,경기,평택시,팽성읍행정복지센터,17990,경기도 평택시 팽성읍 동서촌로 89 ,,
1509,경기,평택시,안중읍행정복지센터,17941,경기도 평택시 안중읍 안현로 400 ,,031-656-1363
1510,경기,평택시,포승읍행정복지센터,17965,경기도 평택시 포승읍 서동대로 1174-16,,
1511,경기,평택시,진위면행정복지센터,17712,경기도 평택시 진위면 봉남길 61 ,,031-233-3010
1514,경기,평택시,오성면행정복지센터,17819,경기도 평택시 오성면 숙성시장길 23 ,,
1519,경기,평택시,송탄동행정복지센터,17742,경기도 평택시 방여울로 117 ,,031-743-8300
1520,경기,평택시,지산동행정복지센터,17761,경기도 평택시 송탄로 379,,031-760-1438
1524,경기,평택시,신평동행정복지센터,17912,경기도 평택시 평택3로 9 ,,
1525,경기,평택시,원평동행정복지센터,17921,경기도 평택시 원평2로 9 ,,
1526,경기,평택시,통복동행정복지센터,17879,경기도 평택시 통복시장로48번길 41 ,,
1529,경기,평택시,세교동행정복지센터,17828,"경기도 평택시 평택로 149, 1층",,031-760-1438
1530,경기,평택시,용이동행정복지센터,17869,경기도 평택시 현촌5길 5-19,,
1539,경기,의정부시,신곡1동행정복지센터,11729,경기도 의정부시 신곡로71,,
1551,경기,시흥시,신현동행정복지센터,14957,경기도 시흥시 신현로 46,,031-760-1488
1552,경기,시흥시,은행동행정복지센터,14922,경기도 시흥시 수인로3247번길 25,,031-380-5400
1553,경기,시흥시,매화동행정복지센터,14939,경기도 시흥시 매화로 22,,
1554,경기,시흥시,목감동행정복지센터,14985,경기도 시흥시 목감우회로 23,,031-380-5400
1555,경기,시흥시,군자동행정복지센터,15069,경기도 시흥시 도일로102번길 11,,
1567,경기,시흥시,월곶동행정복지센터,14966,경기도 시흥시 월곶중앙로 30번안길  7,,031-380-5402
1568,경기,시흥시,장곡동행정복지센터,15002,경기도 시흥시 인선길 14,,031-380-5400
1578,경기,파주시,교하동행정복지센터,10867,경기도 파주시 교하로 1401,,031-820-7602
1587,경기,김포시 ,양촌읍행정복지센터,10057,경기도 김포시 양촌읍 양곡1로68번길 37 ,,031-998-8358
1593,경기,김포시 ,사우동행정복지센터,10108,경기도 김포시 돌문로 51,,
1595,경기,김포시 ,장기동행정복지센터,10088,경기도 김포시 김포한강2로 112,,031-989-0343
1600,경기,광명시,광명2동행정복지센터,14201,경기도 광명시 광명로 947 ,,
1601,경기,광명시,광명3동행정복지센터,14221,경기도 광명시 광명로928번길 18-20 ,,031-790-6632
1602,경기,광명시,광명4동행정복지센터,14263,경기도 광명시 오리로 941 4층,,
1603,경기,광명시,광명5동행정복지센터,14284,경기도 광명시 너부대로35번길 20,,
1604,경기,광명시,광명6동행정복지센터,14295,경기도 광명시 광명로791번길 6,,031-790-6399
1605,경기,광명시,광명7동행정복지센터,14276,경기도 광명시 새터로 13,,
1606,경기,광명시,철산1동행정복지센터,14224,경기도 광명시 사성로 121,,
1607,경기,광명시,철산2동행정복지센터,14229,경기도 광명시 시청로 94 ,,
1608,경기,광명시,철산3동행정복지센터,14238,경기도 광명시 철산로 56,,
1609,경기,광명시,철산4동행정복지센터,14222,"경기도 광명시 오리로 908, 3층",,
1610,경기,광명시,하안1동행정복지센터,14258,경기도 광명시 오리로 747,,
1611,경기,광명시,하안2동행정복지센터,14245,경기도 광명시 안현로 25 ,,
1612,경기,광명시,하안3동행정복지센터,14309,경기도 광명시 금당로 28,,
1613,경기,광명시,하안4동행정복지센터,14247,경기도 광명시 안현로 54,,
1614,경기,광명시,소하1동행정복지센터,14315,경기도 광명시 소하로 25,,
1615,경기,광명시,소하2동행정복지센터,14328,경기도 광명시 성채로 52,,
1616,경기,광명시,일직동행정복지센터,14345,"경기도 광명시 양지로 17, 6층",,
1617,경기,광명시,학온동행정복지센터,14339,경기도 광명시 서독로104번길 14 ,,
1626,경기,광주시,신현동행정복지센터,12820,경기도 광주시 신현로 109,,031-760-1488
1640,경기,군포시,오금동주민센터,15863,경기도 군포시 고산로 406  (금정동),,
1648,경기,오산시,대원2동행정복지센터,18151,"경기도 오산시 동부대로 332-13, 가동 1층",,031-390-8583
1649,경기,오산시,남촌동행정복지센터,18119,경기도 오산시 청학로 55-5,,
1652,경기,오산시,세마동행정복지센터,18105,경기도 오산시 독산성로 419,,031-370-6320
1653,경기,오산시,초평동행정복지센터,18127,경기도 오산시 초평중앙로 77,,
1664,경기,이천시,창전동행정복지센터,17365,경기도 이천시 영창로163번길 22,,
1665,경기,이천시,증포동행정복지센터,17346,경기도 이천시 증신로156번길 15,,
1677,경기,안성시,죽산면행정복지센터,17519,경기도 안성시 죽산면 죽산초교길 61 ,,031-671-2348
1684,경기,양주시,은현면행정복지센터,11427,경기도 양주시 은현면 은현로 66,,
1685,경기,양주시,남면행정복지센터,11404,경기도 양주시 남면 개나리17길 6,,031-390-8584
1689,경기,양주시,양주2동행정복지센터,11493,경기도 양주시 고읍로 77,,
1692,경기,양주시,회천3동행정복지센터,11451,경기도 양주시 회정로 143,,
1714,경기,포천시,포천동행정복지센터,11146,경기도 포천시 중앙로119번길 26,,031-538-4750
1768,경기,과천시,원문동행정복지센터,13835,경기도 과천시 중앙로 28 ,,
1769,경기,과천시,갈현동행정복지센터,13840,경기도 과천시 과천대로7길 26,,
1770,경기,과천시,별양동주민센터,13834,경기도 과천시 별양로 60 ,,
1771,경기,과천시,부림동주민센터,13831,경기도 과천시 별양로 174 ,,
1772,경기,과천시,과천동행정복지센터,13813,경기도 과천시 과천대로 608-17 ,,
1773,경기,과천시,문원동주민센터,13827,경기도 과천시 아랫배랭이로 35 ,,
1785,경기,연천군,미산면행정복지센터,11045,경기도 연천군 미산면 유노로 110,,031-839-2689
1833,강원,원주시,우산동행정복지센터,26341,강원특별자치도 원주시 진광길 9 ,,033-737-5519
1835,강원,원주시,태장2동행정복지센터,26318,강원특별자치도 원주시 흥양로 50번길 1 ,,
1836,강원,원주시,봉산동행정복지센터,26330,강원특별자치도 원주시 치악로 1868 ,,033-737-5522
1841,강원,강릉시,성산면사무소,25450,강원특별자치도 강릉시 성산면 구산길 22,,
1848,강원,강릉시,홍제동주민센터,25537,강원특별자치도 강릉시 경강로 1953,,033-640-4839
1857,강원,강릉시,내곡동주민센터,25604,강원특별자치도 강릉시 범일로 574,,033-640-4839
1862,강원,동해시,송정동행정복지센터,25787,강원특별자치도 동해시 동해항2길 25,,033-635-1504
1864,강원,동해시,부곡동행정복지센터,25735,강원특별자치도 동해시 부곡로 21,,
1867,강원,동해시,묵호동행정복지센터,25717,강원특별자치도 동해시 논골길 78,,033-539-8086
1896,강원,삼척시,성내동행정복지센터,25916,강원특별자치도 삼척시 대학로 57,,033-570-4152
1898,강원,삼척시,정라동행정복지센터,25925,강원특별자치도 삼척시 새천년도로 16,,033-570-3145
1920,강원,영월군,산솔면사무소,26243,강원특별자치도 영월군 산솔면 태백산로 1202,,033-123-4567
1925,강원,영월군,무릉도원면사무소,26201,강원특별자치도 영월군 무릉도원면 무릉길 70-6,,033-731-0726
1947,강원,철원군,동송읍행정복지센터,24013,강원특별자치도 철원군 동송읍 이평로 133,,033-450-5604
1952,강원,화천군,하남면사무소,24145,강원특별자치도 화천군 하남면 원천새싹길 6,,
1982,충북,청주시 상당구,중앙동 행정복지센터,28544,충청북도 청주시 상당구 교서로 32번길 31 (북문로2가),,043-645-8105
1989,충북,청주시 상당구,용암제2동 행정복지센터,28782,충청북도 청주시 상당구 무농정로 47 (용암동),,
1990,충북,청주시 서원구,남이면 행정복지센터,28182,충청북도 청주시 서원구 남이면 척산길 7,,
2004,충북,청주시 흥덕구,운천ㆍ신봉동 행정복지센터,28469,충청북도 청주시 흥덕구 사운로 216 (운천동),,
2011,충북,청주시 흥덕구,강서제2동 행정복지센터,28292,충청북도 청주시 흥덕구 송화로108번길 95(송절동),,043-201-7912
2012,충북,청주시 청원구,오창읍 행정복지센터,28129,충청북도 청주시 청원구 오창읍 두릉유리로 1137-1,,
2015,충북,청주시 청원구,우암동 행정복지센터,28535,충청북도 청주시 청원구 향군로 34 (우암동),,
2032,충북,충주시,소태면행정복지센터,27307,충청북도 충주시 소태면 쟁골1길 1,,043-830-2602
2038,충북,충주시,문화동행정복지센터,27407,충청북도 충주시 사직산6길 46,,043-220-4119
2040,충북,충주시,달천동행정복지센터,27478,충청북도 충주시 충원대로 211,,
2046,충북,제천시,금성면행정복지센터,27207,충청북도 제천시 금성면 청풍호로 1045,,
2049,충북,제천시,덕산면행정복지센터,27223,충청북도 제천시 덕산면 약초로 59,,
2050,충북,제천시,한수면행정복지센터,27226,충청북도 제천시 한수면 미륵송계로8길 26,,043-540-4211
2052,충북,제천시,송학면행정복지센터,27123,충청북도 제천시 송학면 시곡포전로1길 14-2,,043-642-7301
2055,충북,제천시,중앙동행정복지센터,27169,충청북도 제천시 독순로 61,,043-645-8105
2056,충북,제천시,남현동행정복지센터,27174,충청북도 제천시 의병대로 147,,
2058,충북,제천시,용두동행정복지센터,27161,충청북도 제천시 용두대로17길 8,,043-645-8106
2080,충북,옥천군,군서면행정복지센터,29059,충청북도 옥천군 군서면 성왕로 540 ,,043-731-1986
2094,충북,증평군,도안면행정복지센터,27903,충청북도 증평군 도안면 문화마을길 8,,
2104,충북,괴산군,장연면행정복지센터,28009,충청북도 괴산군 장연면 미선로오가5길 7,,
2112,충북,괴산군,불정면행정복지센터,28002,충청북도 괴산군 불정면 목도로2길 11,,043-830-2419
2115,충북,음성군,소이면행정복지센터,27712,충청북도 음성군 소이면 소이로 409,,
2120,충북,음성군,생극면행정복지센터,27619,충청북도 음성군 생극면 음성로 1646,,
2125,충북,단양군,대강면행정복지센터,27027,충청북도 단양군 대강면 대강로 74,,
2126,충북,단양군,가곡면행정복지센터,27021,충청북도 단양군 가곡면 남한강로 550,,
2129,충북,단양군,적성면행정복지센터,27014,충청북도 단양군 적성면 금수산로 957,,
