연번,시도,시군구,읍면동,주    소,전화번호,실제_기관명_전화_AI,D열과의 매핑여부,팩스번호,실제_기관명_팩스_AI,I열과의 매핑여부,팩스전송결과(250711),팩스전송_성공여부,우선순위_케이스,Phase0_성공여부,Phase0_전화매칭,Phase0_팩스매칭,Phase0_신뢰도,전화_매칭_유형,팩스_매칭_유형,최종_결과,오류_메시지
39,서울,용산구,효창동주민센터,서울특별시 용산구 효창원로 161,02-2199-8520,02-2199-8520은 서울 용산구 효창동 주민센터의 전화번호입니다,,02-716-5129,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
40,서울,용산구,용문동주민센터,서울특별시 용산구 새창로12길 13,02-2199-8540,02-2199-8540은 서울 용산구 용문동 주민센터의 전화번호입니다,,02-2120-2775,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
42,서울,용산구,이촌제1동주민센터,서울특별시 용산구 이촌로71길 24,02-2199-8600,02-2199-8600은 서울 용산구 이촌2동 주민센터의 전화번호입니다,,02-2199-5940,02-2199-5940은 서울 용산구 이촌2동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
46,서울,용산구,한남동주민센터,서울특별시 용산구 대사관로5길 1,02-2199-8675,,,02-2199-5970,02-2199-5970은 서울 용산구 한남동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
47,서울,용산구,서빙고동주민센터,서울특별시 용산구 서빙고로 279,02-3785-1597,,,02-6969-9333,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
48,서울,용산구,보광동주민센터,서울특별시 용산구 장문로 95,02-2199-8700,02-2199-8700은 서울 용산구 보광동 주민센터의 전화번호입니다,,02-2199-5990,02-2199-5990은 서울 용산구 보광동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
49,서울,성동구,왕십리도선동주민센터,서울특별시 성동구 마장로 141,02-2286-7201,02-2286-7201은 서울 성동구 왕십리도선동 주민센터의 전화번호입니다,,02-2286-5951,02-2286-5951은 서울 성동구 왕십리도선동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
51,서울,성동구,마장동주민센터,서울특별시 성동구 마장로 42길 11,02-2286-7241,02-2286-7241은 서울 성동구 마장동 주민센터의 전화번호입니다,,02-3396-8967,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
52,서울,성동구,사근동주민센터,서울특별시 성동구 사근동길 37,02-2286-7261,,,02-3395-7999,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
53,서울,성동구,행당제1동주민센터,서울특별시 성동구 고산자로10길 18 ,02-2286-7281,02-2286-7281은 서울 성동구 행당제1동 주민센터의 전화번호입니다,,02-3396-8967,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
55,서울,성동구,응봉동주민센터,서울특별시 성동구 독서당로 424,02-2286-7320,,,02-2286-5958,02-2286-5958은 서울 성동구 응봉동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
58,서울,성동구,금호4가동주민센터,서울특별시 성동구 독서당로46길 26,02-2286-7380,,,02-6969-9333,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
59,서울,성동구,옥수동주민센터,서울특별시 성동구 독서당로 203,02-2286-7402,,,02-2286-5963,02-2286-5963은 서울 성동구 옥수동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
60,서울,성동구,성수1가제1동주민센터,서울특별시 성동구 뚝섬로3길8,02-2286-7421,02-2286-7421은 서울 성동구 성수1가제1동 주민센터의 전화번호입니다,,02-6969-9333,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
61,서울,성동구,성수1가제2동주민센터,서울특별시 성동구 왕십리로5길3,02-2286-7441,02-2286-7441은 서울 성동구 성수1가제2동 주민센터의 전화번호입니다,,02-6969-9333,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
65,서울,성동구,용답동주민센터,서울특별시 성동구 용답중앙23길 20 ,02-2286-7521,,,02-2286-5970,02-2286-5970은 서울 성동구 용답동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
66,서울,광진구,중곡제1동주민센터,서울특별시 광진구 긴고랑로12길 49,02-450-1501,02-450-1501은 서울 광진구 중곡1동 주민센터의 전화번호입니다,,02-411-1781,02-411-1781은 서울 광진구 중곡1동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
67,서울,광진구,중곡제2동주민센터,서울특별시 광진구 능동로 346,02-450-1502,02-450-1502은 서울 광진구 중곡2동 주민센터의 전화번호입니다,,02-411-1787,02-411-1787은 서울 광진구 구의2동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
69,서울,광진구,중곡제4동주민센터,서울특별시 광진구 긴고랑로 131,02-450-1503,02-450-1503은 서울 광진구 중곡3동 주민센터의 전화번호입니다,,02-2671-8212,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
70,서울,광진구,능동주민센터,서울특별시 광진구 천호대로112길 55,02-450-1515,02-450-1515은 서울 광진구 화양동 주민센터의 전화번호입니다,,02-411-1782,02-411-1782은 서울 광진구 중곡2동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
71,서울,광진구,구의제1동주민센터,서울특별시 광진구 광나루로36길 56,02-450-1506,02-450-1506은 서울 광진구 구의1동 주민센터의 전화번호입니다,,02-411-1786,02-411-1786은 서울 광진구 구의1동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
72,서울,광진구,구의제2동주민센터,서울특별시 광진구 천호대로136길 55,02-450-1507,02-450-1507은 서울 광진구 구의2동 주민센터의 전화번호입니다,,02-411-1787,02-411-1787은 서울 광진구 구의2동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
73,서울,광진구,구의제3동주민센터,서울특별시 광진구 강변역로 17,02-450-1508,02-450-1508은 서울 광진구 구의3동 주민센터의 전화번호입니다,,02-411-1788,02-411-1788은 서울 광진구 구의3동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
74,서울,광진구,광장동주민센터,서울특별시 광진구 광장로 52,02-450-1509,02-450-1509은 서울 광진구 광장동 주민센터의 전화번호입니다,,02-411-1789,02-411-1789은 서울 광진구 광장동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
75,서울,광진구,자양제1동주민센터,서울특별시 광진구 자양로13길 37,02-450-1283,,,02-411-1785,02-411-1785은 서울 광진구 능동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
76,서울,광진구,자양제2동주민센터,서울특별시 광진구 자양로3가길 26,02-450-1511,02-450-1511은 서울 광진구 자양2동 주민센터의 전화번호입니다,,02-411-1791,02-411-1791은 서울 광진구 자양1동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
77,서울,광진구,자양제3동주민센터,서울특별시 광진구 뚝섬로 568,02-450-1512,02-450-1512은 서울 광진구 자양3동 주민센터의 전화번호입니다,,02-411-1792,02-411-1792은 서울 광진구 자양2동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
78,서울,광진구,자양제4동주민센터,서울특별시 광진구 뚝섬로26길 58,02-450-1513,02-450-1513은 서울 광진구 자양4동 주민센터의 전화번호입니다,,02-411-1794,02-411-1794은 서울 광진구 자양4동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
79,서울,광진구,화양동주민센터,서울특별시 광진구 능동로17길 39,02-450-1515,02-450-1515은 서울 광진구 화양동 주민센터의 전화번호입니다,,02-2256-7472,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
80,서울,광진구,군자동주민센터,서울특별시 광진구 면목로13,02-450-1506,02-450-1506은 서울 광진구 구의1동 주민센터의 전화번호입니다,,02-2670-3002,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
81,서울,동대문구,용신동주민센터,서울특별시 동대문구 천호대로27길 35,02-2171-6023,,,02-3295-1038,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
82,서울,동대문구,제기동주민센터,서울특별시 동대문구 약령시로 71,02-2171-6063,,,02-3299-2646,02-3299-2646은 서울 동대문구 제기동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
83,서울,동대문구,전농제1동주민센터,서울특별시 동대문구 서울시립대로9길21,02-2127-4551,,,02-3299-2654,02-3299-2654은 서울 동대문구 답십리2동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
84,서울,동대문구,전농제2동주민센터,서울특별시 동대문구 사가정로 137,02-2171-6142,02-2171-6142은 서울 동대문구 전농2동 주민센터의 전화번호입니다,,02-3299-2648,02-3299-2648은 서울 동대문구 전농1동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
85,서울,동대문구,답십리제1동주민센터,서울특별시 동대문구 사가정로 30,02-2127-4549,,,02-3299-2653,02-3299-2653은 서울 동대문구 답십리1동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
86,서울,동대문구,답십리제2동주민센터,서울특별시 동대문구 한천로11길 18,02-2171-6242,02-2171-6242은 서울 동대문구 답십리2동 주민센터의 전화번호입니다,,02-3299-2654,02-3299-2654은 서울 동대문구 답십리2동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
88,서울,동대문구,장안제2동주민센터,서울특별시 동대문구 사가정로 230-1,02-2171-6021,02-2171-6021은 서울 동대문구 용두동 주민센터의 전화번호입니다,,02-3299-2654,02-3299-2654은 서울 동대문구 답십리2동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
89,서울,동대문구,청량리동주민센터,서울특별시 동대문구 왕산로 239 4층,02-2127-4550,,,02-3299-2646,02-3299-2646은 서울 동대문구 제기동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
90,서울,동대문구,회기동주민센터,서울특별시 동대문구 회기로25길 12-1,02-2171-6402,02-2171-6402은 서울 동대문구 회기동 주민센터의 전화번호입니다,,02-963-5019,02-963-5019은 서울 동대문구 청량리동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
93,서울,동대문구,이문제1동주민센터,서울특별시 동대문구 외대역동로 114-1,02-2171-6462,02-2171-6462은 서울 동대문구 이문1동 주민센터의 전화번호입니다,,02-3299-2663,02-3299-2663은 서울 동대문구 이문1동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
94,서울,동대문구,이문제2동주민센터,서울특별시 동대문구 신이문로 27-5,02-2171-6502,02-2171-6502은 서울 동대문구 이문2동 주민센터의 전화번호입니다,,02-3299-2663,02-3299-2663은 서울 동대문구 이문1동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
96,서울,중랑구,면목제2동 주민센터,서울특별시 중랑구 동일로101길 20-15,02-2094-6040,02-2094-6040은 서울 중랑구 면목2동 주민센터의 전화번호입니다,,02-2094-6049,02-2094-6049은 서울 중랑구 면목2동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
97,서울,중랑구,면목제38동 주민센터,서울특별시 중랑구 사가정로51길 48,02-2094-6040,02-2094-6040은 서울 중랑구 면목2동 주민센터의 전화번호입니다,,02-2094-6049,02-2094-6049은 서울 중랑구 면목2동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
101,서울,중랑구,상봉제1동 주민센터,서울특별시 중랑구 상봉중앙로1길 6,02-2094-6240,02-2094-6240은 서울 중랑구 상봉1동 주민센터의 전화번호입니다,,02-2094-6249,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
102,서울,중랑구,상봉제2동 주민센터,서울특별시 중랑구 동일로114길 10,02-2094-6280,02-2094-6280은 서울 중랑구 상봉2동 주민센터의 전화번호입니다,,02-2094-6289,02-2094-6289은 서울 중랑구 상봉2동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
103,서울,중랑구,중화제1동 주민센터,서울특별시 중랑구 동일로134길 17,02-2094-6320,02-2094-6320은 서울 중랑구 중화1동 주민센터의 전화번호입니다,,02-2094-6289,02-2094-6289은 서울 중랑구 상봉2동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
105,서울,중랑구,묵제1동 주민센터,서울특별시 중랑구 공릉로2가길 5,02-2094-6400,02-2094-6400은 서울 중랑구 묵1동 주민센터의 전화번호입니다,,02-2094-6409,02-2094-6409은 서울 중랑구 묵1동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
107,서울,중랑구,망우본동 주민센터,서울특별시 중랑구 망우로67길 10,02-2094-6480,02-2094-6480은 서울 중랑구 망우본동 주민센터의 전화번호입니다,,02-936-5060,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
108,서울,중랑구,망우제3동 주민센터,서울특별시 중랑구 겸재로61길 40,02-2094-6522,,,02-493-7661,02-493-7661은 서울 중랑구 망우3동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
111,서울,성북구,성북동주민센터,서울특별시 성북구 성북로 37,02-2241-5000,02-2241-5000은 서울 성북구 성북동 주민센터의 전화번호입니다,,02-927-9509,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
112,서울,성북구,삼선동주민센터,서울특별시 성북구 보문로 190,02-2241-5040,02-2241-5040은 서울 성북구 삼선동 주민센터의 전화번호입니다,,02-927-9509,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
113,서울,성북구,동선동주민센터,서울특별시 성북구 동소문로26길 27,02-2241-5087,,,02-920-3806,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
115,서울,성북구,돈암제2동주민센터,서울특별시 성북구 흥천사길 7,02-2241-5120,02-2241-5120은 서울 성북구 돈암1동 주민센터의 전화번호입니다,,02-2241-6505,02-2241-6505은 서울 성북구 돈암2동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
117,서울,성북구,보문동주민센터,서울특별시 성북구 안암로3길 35,02-2241-5250,,,02-927-9509,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
120,서울,성북구,정릉제3동주민센터,서울특별시 성북구 솔샘로1길 6-3,02-2241-5280,02-2241-5280은 서울 성북구 정릉1동 주민센터의 전화번호입니다,,02-2241-6504,02-2241-6504은 서울 성북구 돈암1동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
122,서울,성북구,길음제1동주민센터,서울특별시 성북구 길음로 92,02-2241-5200,02-2241-5200은 서울 성북구 안암동 주민센터의 전화번호입니다,,02-927-9509,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
