연번,시도,시군구,읍면동,주    소,전화번호,실제 기관명,올바른 전화번호,팩스번호,실제 기관명,올바른 팩스번호,팩스전송결과(250711),,
183,서울,은평구,대조동주민센터,서울특별시 은평구 연서로20길 24-3,053-664-3950,,,053-664-3030,,,응답없음,,a
184,서울,은평구,응암제1동주민센터,서울특별시 은평구 백련산로 179,053-665-3301,,,053-665-3301,,,연결끊김 ,,b
185,서울,은평구,응암제2동주민센터,서울특별시 은평구 백련산로 100,053-665-3303,,,053-665-3303,,,연결끊김 ,,a
186,서울,은평구,응암제3동주민센터,서울특별시 은평구 불광천길 410-17,053-665-3306,,,053-665-3306,,,연결끊김 ,,b
187,서울,은평구,역촌동주민센터,서울특별시 은평구 연서로 59,053-424-0004,,,053-426-6644,,,성공,,a
188,서울,은평구,신사제1동주민센터,서울특별시 은평구 은평로2길 2,053-665-3315,,,053-665-3315,,,연결끊김 ,,b
189,서울,은평구,신사제2동주민센터,서울특별시 은평구 증산로15길 47,053-665-3317,,,053-665-3317,,,연결끊김 ,,a
190,서울,은평구,증산동주민센터,서울특별시 은평구 증산서길 89,,,,053-665-3321,,,연결끊김 ,,b
191,서울,은평구,수색동주민센터,서울특별시 은평구 수색로280,053-665-3322,,,053-665-3322,,,연결끊김 ,,a
192,서울,은평구,진관동주민센터,서울특별시 은평구 진관2로 31,053-665-3325,,,053-665-3325,,,연결끊김 ,,b
193,서울,서대문구,충현동주민센터,서울특별시 서대문구 북아현로22길 38,,,,053-666-3302,,,연결끊김 ,,a
194,서울,서대문구,천연동주민센터,서울특별시 서대문구 성산로 694,053-666-3572,,,053-743-5676,,,응답없음,,b
195,서울,서대문구,북아현동주민센터,서울특별시 서대문구 북아현로 24,053-666-3304,,,053-666-3304,,,연결끊김 ,,a
196,서울,서대문구,신촌동주민센터,서울특별시 서대문구 연세로2나길 47,053-666-3308,,,053-666-3308,,,연결끊김 ,,b
197,서울,서대문구,연희동주민센터,서울특별시 서대문구 연희로 189,053-666-3311,,,,,,#N/A,,a
198,서울,서대문구,홍제제1동주민센터,서울특별시 서대문구 통일로 435-1,053-666-3312,,,053-757-5788,,,성공,,b
199,서울,서대문구,홍제제2동주민센터,서울특별시 서대문구 통일로34길 27,053-666-3318,,,053-666-3318,,,연결끊김 ,,a
200,서울,서대문구,홍제제3동주민센터,서울특별시 서대문구 세검정로4길 32,053-666-3319,,,053-666-3319,,,연결끊김 ,,b
201,서울,서대문구,홍은제1동주민센터,서울특별시 서대문구 홍은중앙로 85,053-666-3322,,,053-668-3030,,,성공,,a
202,서울,서대문구,홍은제2동주민센터,서울특별시 서대문구 모래내로 334,053-667-4111,,,053-551-2100,,,성공,,b
203,서울,서대문구,남가좌제1동주민센터,서울특별시 서대문구 모래내로15길 37,053-667-4141,,,053-667-4809,,,성공,,a
204,서울,서대문구,남가좌제2동주민센터,서울특별시 서대문구 증가로10길 28,,,,053-667-4258,,,성공,,b
205,서울,서대문구,북가좌제1동주민센터,서울특별시 서대문구 수색로 100-55,053-667-4261,,,053-667-4289,,,성공,,a
206,서울,서대문구,북가좌제2동주민센터,서울특별시 서대문구 응암로1길 10,053-667-4324,,,053-667-4348,,,성공,,b
207,서울,마포구,공덕동주민센터,서울특별시 마포구 만리재옛길 84 ,053-667-4351,,,053-667-4379,,,성공,,a
208,서울,마포구,아현동주민센터,서울특별시 마포구 마포대로7길 18 ,053-667-4381,,,053-667-4409,,,성공,,b
209,서울,마포구,도화동주민센터,서울특별시 마포구 도화길 37 ,053-667-4411,,,053-667-4439,,,성공,,a
210,서울,마포구,용강동주민센터,서울특별시 마포구 토정로31길 31 ,053-667-3316,,,053-667-4469,,,성공,,b
211,서울,마포구,대흥동주민센터,서울특별시 마포구 신촌로26길 10 ,053-667-4471,,,053-667-4499,,,성공,,a
212,서울,마포구,염리동주민센터,서울특별시 마포구 숭문길 14 ,053-667-4601,,,053-667-4629,,,성공,,b
213,서울,마포구,신수동주민센터,서울특별시 마포구 독막로 192 ,053-667-4661,,,053-667-4689,,,성공,,a
214,서울,마포구,서강동주민센터,서울특별시 마포구 독막로 165 ,,,,053-667-4719,,,성공,,b
215,서울,마포구,서교동주민센터,서울특별시 마포구 동교로15길 7 ,053-667-4721,,,053-667-4748,,,성공,,a
216,서울,마포구,합정동주민센터,서울특별시 마포구 월드컵로5길 11 ,053-667-4751,,,053-667-4779,,,성공,,b
217,서울,마포구,망원제1동주민센터,서울특별시 마포구 포은로6길 10 ,,,,053-667-4139,,,성공,,a
218,서울,마포구,망원제2동주민센터,서울특별시 마포구 방울내로7길 11 ,053-605-9510,,,053-611-3001,,,성공,,b
219,서울,마포구,연남동주민센터,서울특별시 마포구 성미산로29길 17-9 ,053-668-5611,,,053-282-7893,,,성공,,a
